time,priority,i,j,score
2021-01-25 13:51:09.746596,2.0,100.0,-200.0,1.0
2021-01-25 13:51:43.823723,2.0,50.0,-200.0,1.0
2021-01-25 13:51:49.171837,2.0,-150.0,-150.0,1.0
2021-01-25 13:51:53.883629,2.0,-150.0,-100.0,1.0
2021-01-25 13:51:57.145462,2.0,-150.0,-50.0,1.0
2021-01-25 13:51:56.157350,2.0,0.0,-250.0,1.0
2021-01-25 13:51:56.157350,2.0,-200.0,-100.0,1.0
2021-01-25 13:51:59.000482,2.0,0.0,-200.0,-1.0
2021-01-25 13:52:01.978424,2.0,-100.0,50.0,1.0
2021-01-25 13:52:01.302948,2.0,-150.0,0.0,-1.0
2021-01-25 13:52:01.302948,2.0,-150.0,50.0,-1.0
2021-01-25 13:52:02.982613,2.0,-50.0,0.0,-1.0
2021-01-25 13:52:02.982613,2.0,-50.0,50.0,1.0
2021-01-25 14:38:22.270182,2.0,-150.0,-200.0,1.0
2021-01-25 14:38:22.270182,2.0,150.0,-150.0,1.0
2021-01-25 14:48:33.953562,2.0,100.0,-150.0,1.0
